Task,Description,File
0. Who am I?,What function would you use to print the type of an object?,0-answer.txt
1. Where are you?,How do you get the variable identifier (memory address in CPython)?,1-answer.txt
2. Right count,"Do `a` and `b` point to the same object? a=89, b=100",2-answer.txt
3. Right count =,"Do `a` and `b` point to the same object? a=89, b=89",3-answer.txt
4. Right count =,"Do `a` and `b` point to the same object? a=89, b=a",4-answer.txt
5. Right count =+,"Do `a` and `b` point to the same object? a=89, b=a+1",5-answer.txt
6. Is equal,"What do these lines print? s1=""Best School"", s2=s1, print(s1==s2)",6-answer.txt
7. Is the same,"What do these lines print? s1=""Best"", s2=s1, print(s1 is s2)",7-answer.txt
8. Is really equal,"What do these lines print? s1=""Best School"", s2=""Best School"", print(s1==s2)",8-answer.txt
9. Is really the same,"What do these lines print? s1=""Best School"", s2=""Best School"", print(s1 is s2)",9-answer.txt
"10. And with a list, is it equal","What do these lines print? l1=[1,2,3], l2=[1,2,3], print(l1==l2)",10-answer.txt
"11. And with a list, is it the same","What do these lines print? l1=[1,2,3], l2=[1,2,3], print(l1 is l2)",11-answer.txt
"12. And with a list, is it really equal","What do these lines print? l1=[1,2,3], l2=l1, print(l1==l2)",12-answer.txt
"13. And with a list, is it really the same","What do these lines print? l1=[1,2,3], l2=l1, print(l1 is l2)",13-answer.txt
14. List append,"What does this script print? l1=[1,2,3], l2=l1, l1.append(4), print(l2)",14-answer.txt
15. List add,"What does this script print? l1=[1,2,3], l2=l1, l1=l1+[4], print(l2)",15-answer.txt
16. Integer incrementation,"What does this script print? def increment(n): n+=1, a=1, increment(a), print(a)",16-answer.txt
17. List incrementation,"What does this script print? def increment(n): n.append(4), l=[1,2,3], increment(l), print(l)",17-answer.txt
18. List assignation,"What does this script print? def assign_value(n,v): n=v, l1=[1,2,3], l2=[4,5,6], assign_value(l1,l2), print(l1)",18-answer.txt
19. Copy a list object,Write a function def copy_list(a_list): that returns a copy of a list,19-copy_list.py
20. Tuple or not?,Is `a=()` a tuple? Answer Yes or No,20-answer.txt
21. Tuple or not?,"Is `a=(1,2)` a tuple? Answer Yes or No",21-answer.txt
22. Tuple or not?,Is `a=(1)` a tuple? Answer Yes or No,22-answer.txt
23. Tuple or not?,"Is `a=(1,)` a tuple? Answer Yes or No",23-answer.txt
24. Who I am?,"What does this script print? a=(1), b=(1), a is b",24-answer.txt
25. Tuple or not,"What does this script print? a=(1,2), b=(1,2), a is b",25-answer.txt
26. Empty is not empty,"What does this script print? a=(), b=(), a is b",26-answer.txt
27. Still the same?,"Will the last line print the same id? id(a), a=[1,2,3,4], a=a+[5]",27-answer.txt
28. Same or not?,"Will the last line print the same id? id(a), a=[1,2,3], a+=[4]",28-answer.txt
